# generated 2026-08-19T03:25:44.653Z
sheet	race	group	category	unit	kind	source	model	bench_lo	bench_hi	bench_raw	note	bench_note
Sheet2	Terran	Terran Heroes	Starting Hero	Blackhammer	bench-only	Nuke, single hit read on dummy. Dummy also says it took 58405 damage from 1 hit, not sure which is the correct number		86082	86082	86082	needs model	Nuke, single hit read on dummy. Dummy also says it took 58405 damage from 1 hit, not sure which is the correct number
Sheet2	Terran	Terran Heroes	Starting Hero	Death Head	headline	total (all sources on)	277431					
Sheet2	Terran	Terran Heroes	Starting Hero	Death Head	weapon	weapon	222223					
Sheet2	Terran	Terran Heroes	Starting Hero	Death Head	ability	+ D-8 Cluster Bomb	148242	111620	111620	111620	ability alone (isolated gross)	D8 Cluster Bomb only
Sheet2	Terran	Terran Heroes	Starting Hero	Death Head	ability	+ Death Bomb	371	33135	36510	33135-36510	ability alone (isolated gross)	Death Bomb only
Sheet2	Terran	Terran Heroes	Starting Hero	Death Head	self-buff	+ Spiked Coca-Cola (self-buff)		311185	314320	311185-314320	todo	D9 Charge attack with Spiked Cola
Sheet2	Terran	Terran Heroes	Starting Hero	Death Head	bench-only	Pistol only		128816	128816	128816	needs model	Pistol only
Sheet2	Terran	Terran Heroes	Starting Hero	Death Head	bench-only	D9 Charge attack		168755	171726	168755-171726	needs model	D9 Charge attack
Sheet2	Terran	Terran Heroes	Starting Hero	Rory Swann	headline	total (all sources on)	1538396					
Sheet2	Terran	Terran Heroes	Starting Hero	Rory Swann	weapon	weapon	1538396					
Sheet2	Terran	Terran Heroes	Starting Hero	Rory Swann	summon	+ Flaming Betty	19134	3825	3825	3825	per-summon; sustained 459220 (avg 24× living)	Flaming Betty
Sheet2	Terran	Terran Heroes	Starting Hero	Rory Swann	summon	+ Militarized Transport	108613	108608	108608	108608	per-summon; sustained 217225 (avg 2× living)	Militarized Transport. This is a unique unit because it does not inheret buffs when summoned. It can also get Elite Unit after the player buffs it with Veterancy. This benchmark is with Elite Unit!
Sheet2	Terran	Terran Heroes	Starting Hero	Rory Swann	summon	+ Devastation Turret	34445	34440	34440	34440	per-summon; sustained 826669 (avg 24× living)	Devastation Turret
Sheet2	Terran	Terran Heroes	Starting Hero	Rory Swann	self-buff	+ Stimpack (self-buff)					todo	
Sheet2	Terran	Terran Heroes	Starting Hero	Rory Swann	bench-only	Weapon with stim		35053	35331	35053-35331	needs model	Weapon with stim
Sheet2	Terran	Terran Heroes	Starting Hero	November Terra	headline	total (all sources on)	175960					
Sheet2	Terran	Terran Heroes	Starting Hero	November Terra	weapon	weapon	175960					
Sheet2	Terran	Terran Heroes	Starting Hero	November Terra	ability	+ Snipe	106482	106756	106756	106756	ability alone (isolated gross)	Snipe only
Sheet2	Terran	Terran Heroes	Starting Hero	November Terra	ability	+ Railgun	0				sustained dps (no bench)	
Sheet2	Terran	Terran Heroes	Starting Hero	November Terra	self-buff	+ Stabilizing Cloak Apply (self-buff)		110985	110985	110985	todo	With of Stabilizing Cloak
Sheet2	Terran	Terran Heroes	Starting Hero	November Terra	bench-only	Penetrating Round only		68057	68057	68057	needs model	Penetrating Round only
Sheet2	Terran	Terran Heroes	Starting Hero	Gabriel Tosh	headline	total (all sources on)	156223					
Sheet2	Terran	Terran Heroes	Starting Hero	Gabriel Tosh	weapon	weapon	97847	97845	97845	97845		
Sheet2	Terran	Terran Heroes	Starting Hero	Gabriel Tosh	toggle	+ Psionic Burn (toggle DoT)	175936	196037	198338	196037-198338	weapon + self-buffs + toggle DoT (max)	Psionic Burn with weapon
Sheet2	Terran	Terran Heroes	Starting Hero	Gabriel Tosh	ability	+ Mindblast	4941	4941	7412	4941-7412	ability alone (isolated gross)	Mindblast only
Sheet2	Terran	Terran Heroes	Starting Hero	Gabriel Tosh	ability	+ Psionic Lash	138928	40765	43483	40765-43483	weapon + ability (cumulative)	Add Pisonic Lash
Sheet2	Terran	Terran Heroes	Starting Hero	Gabriel Tosh	bench-only	Chaotic Cloak		17294	17294	17294	needs model	Chaotic Cloak
Sheet2	Terran	Terran Heroes	Starting Hero	Gabriel Tosh	bench-only	Main weapon without Chaotic Cloak		97845	97845	97845	needs model	Main weapon without Chaotic Cloak
Sheet2	Terran	Terran Heroes	Starting Hero	Egon Stetmann	headline	total (all sources on)	329435					
Sheet2	Terran	Terran Heroes	Starting Hero	Egon Stetmann	weapon	weapon	329435					
Sheet2	Terran	Terran Heroes	Starting Hero	Egon Stetmann	ability	+ Neuro Inhibitor Grenade	30258	14824	14824	14824	perCast (single hit)	Neuro Inhibitor Grenade, single hit
Sheet2	Terran	Terran Heroes	Starting Hero	Egon Stetmann	ability	+ Leeching Serum	108424	47688	53144	47688-53144	ability alone (isolated gross)	Leaching Serum only
Sheet2	Terran	Terran Heroes	Starting Hero	Egon Stetmann	ability	+ Nanobot Wave	50431	28411	29647	28411-29647	ability alone (isolated gross)	Nanobot Wave only
Sheet2	Terran	Terran Heroes	Starting Hero	Egon Stetmann	bench-only	Attack applies a debuff that increases damage taken		110083	116559	110083-116559	needs model	Attack applies a debuff that increases damage taken
Sheet2	Terran	Terran Heroes	Starting Hero	Egon Stetmann	bench-only	Add Support Drone		113832	120528	113832-120528	needs model	Add Support Drone
Sheet2	Terran	Terran Heroes	Starting Hero	Jim Raynor	headline	total (all sources on)	132484					
Sheet2	Terran	Terran Heroes	Starting Hero	Jim Raynor	weapon	weapon	41368	54740	54740	54740		Main weapon with Stimpack and Impetous Stride
Sheet2	Terran	Terran Heroes	Starting Hero	Jim Raynor	ability	+ Single Out	21218	41257	46939	41257-46939	sustained dps	Single Out
Sheet2	Terran	Terran Heroes	Starting Hero	Jim Raynor	ability	+ Plasma Rifle	32688	56824	56824	56824	sustained dps	Plasma Rifle
Sheet2	Terran	Terran Heroes	Starting Hero	Jim Raynor	self-buff	+ Stimpack (self-buff)					todo	
Sheet2	Terran	Terran Heroes	Starting Hero	Jim Raynor	bench-only	Rebel Yell		27016	27867	27016-27867	needs model	Rebel Yell
Sheet2	Terran	Terran Heroes	Starting Hero	Jim Raynor	bench-only	Only main weapon		34976	34976	34976	needs model	Only main weapon
Sheet2	Terran	Terran Heroes	Starting Hero	Son of Korhal	headline	total (all sources on)	201669					
Sheet2	Terran	Terran Heroes	Starting Hero	Son of Korhal	weapon	weapon	85515	85504	85504	85504		
Sheet2	Terran	Terran Heroes	Starting Hero	Son of Korhal	minion	+ Tactical Soldier	116154	113832	115840	113832-115840	minions sustained (8× @ 14519 per-minion)	Tactical Soldier (8)
Sheet2	Terran	Terran Heroes	Starting Hero	Son of Korhal	toggle	+ Chaotic Imbalance (toggle DoT)		180592	180592	180592	needs model	Add Chaotic Imbalance (no minion)
Sheet2	Terran	Terran Heroes	Starting Hero	Son of Korhal	self-buff	+ Stimpack (self-buff)					todo	
Sheet2	Terran	Terran Heroes	Starting Hero	Son of Korhal	self-buff	+ Iron Will Apply (self-buff)					todo	
Sheet2	Terran	Terran Heroes	Starting Hero	Son of Korhal	bench-only	Tactical Soldier (8) + Chaotic Imbalance		240936	244708	240936-244708	needs model	Tactical Soldier (8) + Chaotic Imbalance
Sheet2	Terran	Terran Heroes	Starting Hero	Son of Korhal	bench-only	Tactical Soldier (8) + Chaotic Imbalance + Broken Concentration		301301	323937	301301-323937	needs model	Tactical Soldier (8) + Chaotic Imbalance + Broken Concentration
Sheet2	Terran	Terran Heroes	Starting Hero	Cerberus	headline	total (all sources on)	637210					
Sheet2	Terran	Terran Heroes	Starting Hero	Cerberus	weapon	weapon	193523	193516	193516	193516		
Sheet2	Terran	Terran Heroes	Starting Hero	Cerberus	minion	+ Cerberus Cub	21195	21187	21187	21187	per-minion; sustained 211950 (10× magazine)	Cerberus Cub (1 spawn)
Sheet2	Terran	Terran Heroes	Starting Hero	Cerberus	summon-buff	+ Stunning Frenzy (summon-buff)		34051	34051	34051	todo	1 Cub, during Stunning Frenzy
Sheet2	Terran	Terran Heroes	Starting Hero	Cerberus	bench-only	Cub (with Shock Field)		49756	49756	49756	needs model	Cub (with Shock Field)
Sheet2	Terran	Terran Heroes	Starting Hero	Cerberus	bench-only	Cerberus with Shock Field		231465	231465	231465	needs model	Cerberus with Shock Field
Sheet2	Terran	Terran Heroes	Starting Hero	Cerberus	bench-only	Damage with weapon, Shock Field, and 1 Cub		281222	281222	281222	needs model	Damage with weapon, Shock Field, and 1 Cub
Sheet2	Terran	Terran Heroes	Starting Hero	Cerberus	bench-only	Leap, single hit		19766	19766	19766	needs model	Leap, single hit
Sheet2	Protoss	Protoss Heroes	Starting Hero	Annihilator	headline	total (all sources on)	198646					
Sheet2	Protoss	Protoss Heroes	Starting Hero	Annihilator	weapon	weapon	52777	52095	52850	52095-52850		
Sheet2	Protoss	Protoss Heroes	Starting Hero	Annihilator	ability	+ Plasma Bolt	3910	5559	5559	5559	sustained dps	Plasma Bolt
Sheet2	Protoss	Protoss Heroes	Starting Hero	Annihilator	ability	+ Vengeful Guardian	19766	19765	19765	19765	perCast (single hit)	Vengeful Guardian, single damage
Sheet2	Protoss	Protoss Heroes	Starting Hero	Annihilator	self-buff	+ Shield Burn On (self-buff)		43670	46310	43670-46310	todo	Add Shield Burn
Sheet2	Protoss	Protoss Heroes	Starting Hero	Artanis	headline	total (all sources on)	279202				vs air 228420	
Sheet2	Protoss	Protoss Heroes	Starting Hero	Artanis	weapon	weapon (ground)	279202	279200	279200	279200		
Sheet2	Protoss	Protoss Heroes	Starting Hero	Artanis	weapon	weapon (air)	228420					
Sheet2	Protoss	Protoss Heroes	Starting Hero	Artanis	summon-buff	+ Rousing Speech (summon-buff)		371168	371168	371168	todo	Add Rousing Speech
Sheet2	Protoss	Protoss Heroes	Starting Hero	Artanis	bench-only	Lightning Dash, 0 Dex, single tick		15000	15000	15000	needs model	Lightning Dash, 0 Dex, single tick
Sheet2	Protoss	Protoss Heroes	Starting Hero	Artanis	bench-only	Blink Strike, 0 Dex, single tick		18000	18000	18000	needs model	Blink Strike, 0 Dex, single tick
Sheet2	Protoss	Protoss Heroes	Starting Hero	Fenix	headline	total (all sources on)	63077					
Sheet2	Protoss	Protoss Heroes	Starting Hero	Fenix	weapon	weapon	41782	41959	46861	41959-46861		
Sheet2	Protoss	Protoss Heroes	Starting Hero	Fenix	self-buff	+ Overcharge (self-buff)		62848	79015	62848-79015	todo	Add Overcharge
Sheet2	Protoss	Protoss Heroes	Starting Hero	Fenix	bench-only	Whirlwind only		86755	88980	86755-88980	needs model	Whirlwind only
Sheet2	Protoss	Protoss Heroes	Starting Hero	Revenant	headline	total (all sources on)	143082					
Sheet2	Protoss	Protoss Heroes	Starting Hero	Revenant	weapon	weapon	67630	67416	68191	67416-68191		
Sheet2	Protoss	Protoss Heroes	Starting Hero	Revenant	ability	+ Feedback					needs model	
Sheet2	Protoss	Protoss Heroes	Starting Hero	Revenant	ability	+ Lightning Pulse	17295	19888	20752	19888-20752	sustained dps	Lightning Pulse
Sheet2	Protoss	Protoss Heroes	Starting Hero	Revenant	self-buff	+ Power Overwhelming (self-buff)		191792	191792	191792	todo	Add Power Overwhelming
Sheet2	Protoss	Protoss Heroes	Starting Hero	Zyrkhan	headline	total (all sources on)	128867					
Sheet2	Protoss	Protoss Heroes	Starting Hero	Zyrkhan	weapon	weapon	122690	122688	122688	122688		Blood Frenzy stops working due to already hitting the attack speed cap.
Sheet2	Protoss	Protoss Heroes	Starting Hero	Zyrkhan	ability	+ Deadly Leap	24707	24707	24707	24707	perCast (single hit)	Deadly Leap, single hit
Sheet2	Protoss	Protoss Heroes	Starting Hero	Zyrkhan	self-buff	+ Blood Frenzy (self-buff)					todo	
Sheet2	Protoss	Protoss Heroes	Starting Hero	Zyrkhan	bench-only	Add Valiant Charge		236132	239097	236132-239097	needs model	Add Valiant Charge
Sheet2	Protoss	Protoss Heroes	Starting Hero	Zyrkhan	bench-only	While Grand Duelist		159040	159040	159040	needs model	While Grand Duelist
Sheet2	Protoss	Protoss Heroes	Starting Hero	E•Borp	headline	total (all sources on)	211927					
Sheet2	Protoss	Protoss Heroes	Starting Hero	E•Borp	weapon	weapon	211927	211925	211925	211925		Divine Weapon
Sheet2	Protoss	Protoss Heroes	Starting Hero	E•Borp	summon-buff	+ Divine Boost (summon-buff)					todo	
Sheet2	Protoss	Protoss Heroes	Starting Hero	E•Borp	bench-only	Power Pylon		47883	50059	47883-50059	needs model	Power Pylon
Sheet2	Protoss	Protoss Heroes	Starting Hero	Karax	headline	total (all sources on)	1703525					
Sheet2	Protoss	Protoss Heroes	Starting Hero	Karax	weapon	weapon	1331259					
Sheet2	Protoss	Protoss Heroes	Starting Hero	Karax	summon	+ Phase Cannon	65603	65055	73665	65055-73665	per-summon; sustained 1157821 (avg 17.65× living)	Phase Cannon summon, 1 spawn.
Sheet2	Protoss	Protoss Heroes	Starting Hero	Karax	minion	+ Servitor	37140				per-minion; sustained 74280 (2× magazine)	
Sheet2	Protoss	Protoss Heroes	Starting Hero	Karax	ability	+ Overload	29648	29645	29645	29645	perCast (single hit)	Overload, single hit
Sheet2	Protoss	Protoss Heroes	Starting Hero	Karax	ability	+ Solar Lance	19766	19766	19766	19766	perCast (single hit)	Solar Lance, single hit
Sheet2	Protoss	Protoss Heroes	Starting Hero	Karax	summon-buff	+ Inspiration (summon-buff)		112519	139440	112519-139440	todo	Add Inspiration
Sheet2	Protoss	Protoss Heroes	Starting Hero	Karax	bench-only	Weapon + Servitors		95170	107981	95170-107981	needs model	Weapon + Servitors
Sheet2	Protoss	Protoss Heroes	Starting Hero	Karax	bench-only	Rods From God, single hit		9883	9883	9883	needs model	Rods From God, single hit
Sheet2	Protoss	Protoss Heroes	Starting Hero	Lancer	headline	total (all sources on)	154391					
Sheet2	Protoss	Protoss Heroes	Starting Hero	Lancer	weapon	weapon	142373	209472	213896	209472-213896		AG + Burn
Sheet2	Protoss	Protoss Heroes	Starting Hero	Lancer	summon	+ Thermal Assault	66757	55070	57573	55070-57573	per-summon; sustained 66757 (avg 1× living)	Thermal Assault (1)
Sheet2	Protoss	Protoss Heroes	Starting Hero	Lancer	ability	+ Thermal Assault	2555				sustained dps (no bench)	
Sheet2	Protoss	Protoss Heroes	Starting Hero	Lancer	self-buff	+ Amplification Mode (self-buff)		268623	269414	268623-269414	todo	Add Amplification Mode
Sheet2	Protoss	Protoss Heroes	Starting Hero	Lancer	self-buff	+ Extermination Mode (self-buff)		369771	370166	369771-370166	todo	Add Extermination Mode (Active)
Sheet2	Protoss	Protoss Heroes	Starting Hero	Lancer	bench-only	Add Extermination Mode (Autocast)		270704	370166	270704-370166	needs model	Add Extermination Mode (Autocast)
Sheet2	Protoss	Protoss Heroes	Starting Hero	Lancer	bench-only	AA weapon		116179	118184	116179-118184	needs model	AA weapon
Sheet2	Protoss	Protoss Heroes	Starting Hero	Shadow Walker	headline	total (all sources on)	748809					
Sheet2	Protoss	Protoss Heroes	Starting Hero	Shadow Walker	weapon	weapon	83966	83779	84853	83779-84853		
Sheet2	Protoss	Protoss Heroes	Starting Hero	Shadow Walker	ability	+ Shadow Blast		122432	126228	122432-126228	needs model	Add Shadow Blink to above
Sheet2	Protoss	Protoss Heroes	Starting Hero	Shadow Walker	ability	+ Shadow Blast		2668	5336	2668-5336	needs model	Shadow Blast only
Sheet2	Protoss	Protoss Heroes	Starting Hero	Shadow Walker	ability	+ Void Surge	68691	35577	66708	35577-66708	ability alone (isolated gross)	Void Surge only
Sheet2	Protoss	Protoss Heroes	Starting Hero	Shadow Walker	ability	+ Void Surge	68691	72027	135051	72027-135051	sustained dps	Void Meld and Void Surge (no intelligence, no dexterity, no ace)
Sheet2	Protoss	Protoss Heroes	Starting Hero	Shadow Walker	self-buff	+ Shadow Blink (self-buff)		144841	159716	144841-159716	todo	Add Shadow Blast to above
Sheet2	Protoss	Protoss Heroes	Starting Hero	Shadow Walker	self-buff	+ Void Meld (self-buff)					todo	
Sheet2	Protoss	Protoss Heroes	Starting Hero	Alarak	headline	total (all sources on)	671351					
Sheet2	Protoss	Protoss Heroes	Starting Hero	Alarak	weapon	weapon	279741					
Sheet2	Protoss	Protoss Heroes	Starting Hero	Alarak	ability	+ Deadly Charge	263054	202123	204347	202123-204347	weapon + ability (cumulative)	Add Deadly Charge
Sheet2	Protoss	Protoss Heroes	Starting Hero	Alarak	ability	+ Destruction Wave	24089	24088	24088	24088	ability alone (isolated gross)	Destruction Wave only
Sheet2	Protoss	Protoss Heroes	Starting Hero	Alarak	bench-only	Scatter the Unworthy isn't recorded in this value, just the weapon		177664	177664	177664	needs model	Scatter the Unworthy isn't recorded in this value, just the weapon
Sheet2	Protoss	Protoss Heroes	Starting Hero	Alarak	bench-only	Lightning Jump only		5929	7906	5929-7906	needs model	Lightning Jump only
Sheet2	Protoss	Protoss Heroes	Starting Hero	Karass	headline	total (all sources on)	123413					
Sheet2	Protoss	Protoss Heroes	Starting Hero	Karass	weapon	weapon	123413	115387	116870	115387-116870		Attacks cannot be separated from Concentrated Storm
Sheet2	Protoss	Protoss Heroes	Starting Hero	Karass	ability	+ Psionic Storm	21006	36933	38069	36933-38069	sustained dps	Psionic Storm
Sheet2	Protoss	Protoss Heroes	Starting Hero	Karass	ability	+ Lightning Strike	24707	24707	24707	24707	ability alone (isolated gross)	Lightning Strike (autocast only, can cast faster manual) 27177-29648 with stop spam
Sheet2	Protoss	Protoss Heroes	Starting Hero	Karass	ability	+ Charged Blast	0	111501	111501	111501	sustained dps	Charged Blast, total damage. 8750 while stationary. 17294 while moving. This is probably a bug from the charged blast summon damage not referencing the caster unit
Sheet2	Protoss	Protoss Heroes	Starting Hero	Karass	self-buff	+ Unleashed Storm (self-buff)		265798	318983	265798-318983	todo	Unleashed storm with weapon
Sheet2	Protoss	Protoss Heroes	Starting Hero	Tassadar	headline	total (all sources on)	137832					
Sheet2	Protoss	Protoss Heroes	Starting Hero	Tassadar	weapon	weapon	137832					
Sheet2	Protoss	Protoss Heroes	Starting Hero	Tassadar	ability	+ Psionic Power	78075	75903	76570	75903-76570	sustained dps	Psionic Power
Sheet2	Protoss	Protoss Heroes	Starting Hero	Tassadar	ability	+ Energy Nova	8895	2223	2223	2223	sustained dps	Energy Nova, burn DPS
Sheet2	Protoss	Protoss Heroes	Starting Hero	Tassadar	summon-buff	+ Rift Shield (summon-buff)					todo	
Sheet2	Protoss	Protoss Heroes	Starting Hero	Tassadar	summon-buff	+ Transcendence (summon-buff)					todo	
Sheet2	Protoss	Protoss Heroes	Starting Hero	Tassadar	bench-only	Attacks cause a debuff		55125	55125	55125	needs model	Attacks cause a debuff
Sheet2	Protoss	Protoss Heroes	Starting Hero	Zeratul	headline	total (all sources on)	547131					
Sheet2	Protoss	Protoss Heroes	Starting Hero	Zeratul	weapon	weapon	547131	1506848	1506848	1506848		
Sheet2	Protoss	Protoss Heroes	Starting Hero	Zeratul	ability	+ Shadow Strike	39531	152853	159499	152853-159499	ability alone (isolated gross)	Shadow Strike only
Sheet2	Protoss	Protoss Heroes	Starting Hero	Zeratul	ability	+ Graviton Lock					needs model	
Sheet2	Protoss	Protoss Heroes	Starting Hero	Zeratul	self-buff	+ Cloakedin Shadow Apply (self-buff)					todo	
Sheet2	Protoss	Protoss Heroes	Starting Hero	Zeratul	bench-only	Marked for Death (doesn't seem to work)		0	0	0	needs model	Marked for Death (doesn't seem to work)
Sheet2	Zerg	Zerg Heroes	Starting Hero	Alexei Stukov	headline	total (all sources on)	686479					
Sheet2	Zerg	Zerg Heroes	Starting Hero	Alexei Stukov	weapon	weapon	624705					
Sheet2	Zerg	Zerg Heroes	Starting Hero	Alexei Stukov	summon	+ Infested Tank	17551	17267	17721	17267-17721	per-summon; sustained 137670 (avg 7.84× living)	Infested Tank, single unit
Sheet2	Zerg	Zerg Heroes	Starting Hero	Alexei Stukov	summon	+ Infested Tank + Rallying Cry	19313	494694	506018	494694-506018	per-summon with Rallying Cry	Rallying Cry + Weapon + Infested Army summons
Sheet2	Zerg	Zerg Heroes	Starting Hero	Alexei Stukov	minion	+ Infested Soldier	22966	22965	22965	22965	per-minion; sustained 459314 (20× magazine)	Infested Solider, single unit
Sheet2	Zerg	Zerg Heroes	Starting Hero	Alexei Stukov	minion	+ Infested Soldier	480886	450622	455790	450622-455790	weapon + minions sustained (459314 @ 20×; 22966 per-minion)	Weapon + Infested Army summons
